ISO 8601 Time,Dissolved Oxygen (mg/l),Dissolved Oxygen (%),DO Temperature (C)
2020-06-04T11:18:58.000,8.07,70.62,9.49
2020-06-04T11:33:58.000,8.10,70.89,9.49
2020-06-04T11:48:58.000,8.10,70.92,9.51
2020-06-04T12:03:58.000,8.47,74.44,9.66
2020-06-04T12:18:58.000,8.44,74.12,9.61
2020-06-04T12:33:58.000,8.47,74.52,9.70
2020-06-04T12:48:58.000,9.10,80.38,9.86
2020-06-04T13:03:58.000,8.50,74.70,9.69
2020-06-04T13:18:58.000,8.35,73.28,9.60
2020-06-04T13:33:58.000,8.04,70.34,9.49
2020-06-04T13:48:58.000,7.82,68.33,9.42
2020-06-04T14:03:58.000,7.09,61.70,9.26
2020-06-04T14:18:58.000,6.94,60.33,9.21
2020-06-04T14:33:58.000,6.83,59.35,9.16
2020-06-04T14:48:58.000,6.76,58.72,9.15
2020-06-04T15:03:58.000,6.72,58.30,9.13
2020-06-04T15:18:58.000,6.71,58.18,9.11
2020-06-04T15:33:58.000,6.68,57.91,9.11
2020-06-04T15:48:58.000,6.67,57.87,9.11
2020-06-04T16:03:58.000,6.68,57.95,9.11
2020-06-04T16:18:58.000,6.60,57.23,9.11
2020-06-04T16:33:58.000,6.57,56.99,9.09
2020-06-04T16:48:58.000,6.58,57.01,9.09
2020-06-04T17:03:58.000,6.56,56.88,9.09
2020-06-04T17:18:58.000,6.48,56.18,9.08
2020-06-04T17:33:58.000,6.80,58.98,9.13
2020-06-04T17:48:58.000,6.99,60.71,9.16
2020-06-04T18:03:58.000,7.08,61.54,9.20
2020-06-04T18:18:58.000,7.25,63.13,9.26
2020-06-04T18:33:58.000,7.52,65.57,9.32
2020-06-04T18:48:58.000,7.56,65.90,9.33
2020-06-04T19:03:58.000,7.59,66.20,9.35
2020-06-04T19:18:58.000,7.30,63.58,9.28
2020-06-04T19:33:58.000,7.20,62.69,9.26
2020-06-04T19:48:58.000,7.15,62.20,9.24
2020-06-04T20:03:58.000,7.06,61.46,9.23
2020-06-04T20:18:58.000,7.18,62.50,9.29
2020-06-04T20:33:58.000,7.22,62.85,9.26
2020-06-04T20:48:58.000,7.14,62.13,9.25
2020-06-04T21:03:58.000,7.15,62.22,9.26
2020-06-04T21:18:58.000,7.18,62.49,9.26
2020-06-04T21:33:58.000,7.17,62.41,9.27
2020-06-04T21:48:58.000,7.22,62.91,9.30
2020-06-04T22:03:58.000,7.30,63.65,9.35
2020-06-04T22:18:58.000,7.59,66.37,9.44
